,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Compound Info,,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,BML,BML,BML,BML,BML,BML
Hydroperoxynonenal_ __Cn,Hydroperoxynonenal_ ,Hydroperoxynonenal_ _m172.11_r3.4Cn,0.006223507,0.00939573,0.007570453,0.013890435,0.01542158,0.009141089,0.012650289,0.018362123,0.015975687,0.007773874,0.016462635,0.017145886
L-Arginine__Cp,L-Arginine,L-Arginine_m174.112_r1.04Cp,0.00150665,0.002823331,0.000670719,0.002617641,0.001419514,0.001372651,0.002614419,0.005545986,0.000623014,0.00153507,0.00149343,0.001436912
Hydroxynonanoic acid__Cn,Hydroxynonanoic acid_,Hydroxynonanoic acid___m174.125_r3.58Cn,0.007807856,0.005705792,0.008414466,0.011897484,0.014274565,0.012496417,0.016881122,0.013937004,0.012704589,0.007668215,0.016333181,0.014090822
R-adrenaline__Cn,R-adrenaline,R-adrenaline_m183.09_r1.48Cn,0.016730307,0.025217425,0.023798572,0.024478861,0.024715635,0.025168421,0.019442921,0.03842657,0.030420833,0.024262221,0.033205015,0.03278335
Hendecenoic acid__Cn,Hendecenoic acid,Hendecenoic acid_m184.146_r4.46Cn,0.002824044,0.003013576,0.003568812,0.004098843,0.002023076,0.003119737,0.004426765,0.007742867,0.003133996,0.001204722,0.007656377,0.003264414
Hydroxydecenoic acid__Cn,Hydroxydecenoic acid_,Hydroxydecenoic acid__m186.125_r4Cn,0.004060606,0.005048631,0.007920437,0.006321726,0.00607737,0.005811855,0.006041258,0.008295076,0.009461827,0.004964266,0.006217795,0.007454879
Methyl N-a-methylbutyrylglycine__Cn,Methyl N-a-methylbutyrylglycine_,Methyl N-a-methylbutyrylglycine___m188.104_r2.73Cn,0.0596296,0.011967752,0.164740488,0.250166533,0.010525744,0.034319474,0.012082164,0.23200737,0.019075645,0.009046363,0.028838123,0.018533837
Hydroxycaprate__Cn,Hydroxycaprate_,Hydroxycaprate___m188.141_r4.09Cn,0.018991853,0.020841754,0.028779702,0.029884917,0.041178855,0.032222948,0.031046691,0.03975042,0.038600196,0.022071884,0.036691273,0.04927305
Hydroxyindole acetate__Cn,Hydroxyindole acetate,Hydroxyindole acetate_m191.058_r4.73Cn,0.002639846,0.004130195,0.005646252,0.004244957,0.005269553,0.005478004,0.004290448,0.005928555,0.01186144,0.004918084,0.004878793,0.007303019
Dodecadienoic acid__Cn,Dodecadienoic acid,Dodecadienoic acid_m196.146_r4.08Cn,0.003189011,0.002991111,0.005703196,0.005392956,0.006516509,0.00621885,0.005136505,0.006841981,0.007848842,0.003605458,0.007246819,0.006895541
Vanillyl mandelate__Cp,Vanillyl mandelate,Vanillyl mandelate_m197.045_r1.42Cp,0.007278277,0.016854674,0.017420268,0.006371965,0.017491077,0.026404358,0.021754714,0.016621184,0.057336494,0.025110561,0.006923897,0.036121436
Decenedioic acid__Cn,Decenedioic acid,Decenedioic acid_m200.105_r2.56Cn,0.023238015,0.011818969,0.033222615,0.025907697,0.019376976,0.017485032,0.032336958,0.041120144,0.023522895,0.012944146,0.024511408,0.027641311
Sebacic acid__Cn,Sebacic acid_,Sebacic acid___m202.12_r4.64Cn,0.002818906,0.002279418,0.008733086,0.010336067,0.004519646,0.002689081,0.003200462,0.010502938,0.004009767,0.002090342,0.003687953,0.0036525
Tridecadienoic acid__Cn,Tridecadienoic acid_,Tridecadienoic acid___m210.161_r4.76Cn,0.006062285,0.007508044,0.006247083,0.004509006,0.005870879,0.0066369,0.008665178,0.012407805,0.007818203,0.004530294,0.013445166,0.007917826
Tridecadienoic acid i__Cn,Tridecadienoic acid i,Tridecadienoic acid i_m210.162_r4.05Cn,0.045958858,0.024330309,0.033962197,0.032850945,0.052957454,0.031050698,0.101844754,0.032577575,0.053557541,0.028317351,0.04754489,0.065403714
Hydroxydodecadienoic acid__Cn,Hydroxydodecadienoic acid_,Hydroxydodecadienoic acid____m212.141_r4.56Cn,0.03442533,0.033693566,0.049014289,0.044648132,0.063781974,0.044099673,0.055266106,0.062046639,0.060270601,0.035893064,0.05811977,0.06990737
Oxododecanoate__Cn,Oxododecanoate,Oxododecanoate_m214.156_r4.58Cn,0.033271149,0.03142581,0.05444792,0.050842289,0.073116493,0.049809646,0.054237659,0.067639206,0.067875206,0.044323377,0.052215773,0.075512121
Oxododecanoate__Cp,Oxododecanoate,Oxododecanoate_m214.156_r3.15Cp,0.003619386,0.001393934,0.003108172,0.001230421,0.003156168,0.002022178,0.004774878,0.003494187,0.003087006,0.001902887,0.002466948,0.003839328
Oxododecanoate iso__Cp,Oxododecanoate i,Oxododecanoate i_m214.156_r3.81Cp,0.001636384,0.000541202,0.001692278,0.001554478,0.001814453,0.001085121,0.002111155,0.002113246,0.001196352,0.000931015,0.001613642,0.002089678
Methyl-D-erythritol 4-P__Cn,Methyl-D-erythritol 4-P,Methyl-D-erythritol 4-P_m216.039_r1.2Cn,0.009163342,0.047158121,0.013500265,0.028948774,0.013374666,0.011186542,0.016574453,0.06016096,0.010390459,0.022478678,0.020359901,0.015053909
Undecanedioic acid__Cn,Undecanedioic acid_,Undecanedioic acid___m216.136_r4.1Cn,0.015865414,0.018213505,0.034702268,0.029216521,0.036118068,0.024647218,0.017014274,0.039127498,0.036384924,0.021969679,0.031727934,0.044305548
Hydroxylauric acid__Cn,Hydroxylauric acid,Hydroxylauric acid_m216.172_r6.04Cn,0.008630199,0.011642958,0.011692224,0.014079646,0.007804207,0.007311458,0.00945724,0.017332541,0.011127577,0.00579216,0.009424475,0.009510766
Hydroxydodecanoate__Cn,Hydroxydodecanoate,Hydroxydodecanoate_m216.172_r5.54Cn,0.026278088,0.026814459,0.037965977,0.038945347,0.019448978,0.026438279,0.031891672,0.048681152,0.043429618,0.018664527,0.040421174,0.03545471
Dodecenynyl acetate__Cn,Dodecenynyl acetate_,Dodecenynyl acetate___m222.162_r6.69Cn,0.056412394,0.124841954,0.112914016,0.070403524,0.120261979,0.121133409,0.121385205,0.132186622,0.162288014,0.059151983,0.103567196,0.110851139
